"","county","year","dem.vote","dem.vote.perc","rep.vote","rep.vote.perc","oth.vote","oth.vote.perc","num.diff","perc.diff","winning.party","winner","turnout","turnout.perc","total.voting.age","dem.change","rep.change","oth.change","swing.num","swing.perc","swing.turnout","swing.turnout.perc","dem.wins","mostly.dem","dem.2016","most.turnout.drop","most.turnout.drop","use.machines.prop","machine.most.used","all.machines","ftotinc"
"66","Washburn",2016,3283,36.24,5404,59.65,372,4.11,2121,23.41,"Rep","Trump",9059,70.0510361892979,12932,-11.6441391191989,9.05239043824701,2.59174868095187,1869,20.6965295574459,-228,-2.9198131860459,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.04,"Dominion","Some or no voting machines",NA
"67","Washington",2016,20854,27.35,51729,67.84,3663,4.81,30875,40.49,"Rep","Trump",76246,74.7487818985716,102003,-2.07013156892129,-1.70992253181275,3.78005410073404,-724,0.360209037108532,-2496,-3.68887997336526,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",NA
"68","Waukesha",2016,79199,33.52,145519,61.59,11551,4.9,66320,28.07,"Rep","Trump",236269,77.9907243889155,302945,1.21445902499836,-5.16989108326226,3.96543205826389,-17699,-6.38435010826061,-7587,-3.79925310555876,0,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",139723.39827639
"69","Waupaca",2016,8303,32.57,16013,62.82,1175,4.61,7710,30.25,"Rep","Trump",25491,61.6528805688579,41346,-12.2365015479876,8.63269349845202,3.6038080495356,5286,20.8691950464396,-349,-1.8501053494041,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.352941176470588,"Dominion","Some or no voting machines",NA
"70","Waushara",2016,3802,31.79,7669,64.12,490,4.11,3867,32.33,"Rep","Trump",11961,59.5815691158157,20075,-12.491208499336,9.65452855245685,2.85667994687915,2640,22.1457370517928,-87,-1.39934903977473,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.08,"Dominion","Some or no voting machines",NA
"71","Winnebago",2016,37054,43.14,43447,50.58,5391,6.28,6393,7.44,"Rep","Trump",85892,64.0492755568481,134103,-7.82722101981541,3.343728931403,4.48349208841241,9720,11.1709499512184,-3281,-3.51626467652059,2,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",1,"Dominion","Mostly voting machines",108273.321258213
"72","Wood",2016,14232,37.74,21502,57.02,1978,5.25,7270,19.28,"Rep","Trump",37712,64.1415086316864,58795,-10.0260668380463,6.36704370179949,3.66902313624679,6147,16.3931105398458,-1188,-3.0850916724751,1,"Mostly Rep","Rep2016","Little turnout change 2016","Little turnout change 2016",0.882352941176471,"Dominion","Mostly voting machines",NA
"73","Adams",2012,5542,53.8738213278896,4644,45.1443569553806,101,0.981821716729853,-898,-8.72946437250899,"Dem","Obama",10287,58.9175257731959,17460,-4.26757662925042,5.34864295578114,-1.08106632653071,934,9.61621958503156,301,NA,4,"Mostly Dem","Rep2016",NA,"Little turnout change 2016",0.368421052631579,"Dominion","Some or no voting machines",NA
"74","Ashland",2012,5399,64.4887720974677,2820,33.6837075967511,153,1.82752030578118,-2579,-30.8050645007167,"Dem","Obama",8372,67.5706214689265,12390,-3.36753767626681,2.96292383188053,0.404613844386261,605,6.33046150814734,-202,NA,5,"Mostly Dem","Rep2016",NA,"Large turnout change 2016",0.0625,"Dominion","Some or no voting machines",NA
"75","Barron",2012,10890,47.9904812268641,11443,50.4274634232329,359,1.58205534990305,553,2.43698219636876,"Rep","Romney",22692,63.1789960185984,35917,-4.78414081281081,4.73577418090129,0.0483666319095164,2174,9.51991499371212,-194,NA,1,"Mostly Rep","Rep2016",NA,"Little turnout change 2016",0.228571428571429,"Dominion","Some or no voting machines",NA
